태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
영진 태양광발전소,,경기도 안성시 원곡면 성은리 332-17,,,,가동중단,41.76,380,60,2023,,2023-02-09,안성시,,2023-07-06
영진 태양광발전소,경기도 이천시 호법면 은계보로 68,,,,,가동중단,19.72,380,60,2024,발전사업용,2023-02-22,이천시,,2023-06-05
영진공업 태양광발전소,,,,,,정상가동,858.24,22900,60,2022,발전사업용,2022-05-19,화성시,,2023-06-12
영찬 태양광발전소,경기도 양평군 개군면 공세리 209-1,경기도 양평군 개군면 공세리 209-1,,,기타,정상가동,99.9,380,60,2022,,2021-11-24,양평군,,2023-06-20
영천타워 발전소,,,,,,정상가동,71.92,380,60,2022,발전사업용,2022-03-03,화성시,,2023-06-12
영테크1호 태양광발전소,,경기도 안성시 미양면 보체리 156-1 1동,,,,정상가동,99.19,380,60,2021,사업용,2021-12-01,안성시,,2023-07-06
영테크2호 태양광발전소,,"경기도 안성시 미양면 보체리 156-1 2동,3동",,,,정상가동,91,380,60,2021,사업용,2021-12-01,안성시,,2023-07-06
영표 태양광발전소,,,,,,정상가동,30,380,60,2013,발전사업용,2013-01-11,화성시,,2023-06-12
영필1호 태양광발전소,,경기도 안성시 일죽면 신흥리 623,,,,정상가동,99.36,380,60,2018,사업용,2018-08-21,안성시,,2023-07-06
영필1호 태양광발전소,,"경기도 안성시 서운면 현매리 347,348,349,352-1,352-2",,,,정상가동,343.62,380,60,2019,사업용,2019-03-20,안성시,,2023-07-06
영필2호 태양광발전소,,"경기도 안성시 서운면 현매리 341,342,347-1",,,,정상가동,319.68,380,60,2019,사업용,2019-07-09,안성시,,2023-07-06
